Name,width_m,Trib_length_m,Catchment_Location,Flow_station
Nant Troed-y-rhiw,4.2,1177,1,1
,1.3,,1,2
,1,,1,2
,1,,1,2
,1,,1,2
,1,,1,2
,1,,1,2
,1,,4,5
,1,,5,6
,1,,6,7
,1,,6,7
,1,,9,10
,1,,10,11
,1.5,,12,13
Nant y Gwaith,5.1,1534,19,20
,4.3,657,24,25
,1,,27,28
,1,,27,28
,1.2,72,27,28
Nant Milwyn,5,2825,28,29
,1,,29,30
,1,,29,30
,1,,29,30
Nant Cae-glas,5.65,1140,29,30
,1,,29,30
,1,87,29,30
,1.2,,29,30
Nant Gau,6.3,3362,29,30
Nant Peiran,5,2740,29,30
,1,,30,31
,3,,30,31
Nant Ffin,3,812,30,31
,1,,30,31
,1,,30,31
,1,,30,31
,1,,30,31
,1,,30,31
,1,,31,32
Nant Cell,13,1789,32,33
,1,,34,35
,3.6,994,34,35
Nant Cilmeddu,1.3,1004,35,36
,1,,37,38
,1,,39,40
,7,,39,40
,1,,43,44
Nant Cwmtarw,11.1,2242,43,44
Nant Cleirch,5,1986,43,44
,1,,43,44
Nant Freuo,7,1407,44,45
,2.4,1531,45,46
Nant Magwr,4.61,2178,45,46
,3.3,33,45,46
Afon Llanfihangel,10,3351,45,46
Nant Adail,10,2173,47,48
,3,588,47,48
Afon Fâd,6.3,3118,48,49
,4.4,623,48,49
,1,,48,49
,1.2,,48,49
,1,,48,49
Nant Llolwyn,3,409,48,49
,1,,51,52
,1,98,51,52
Nant Paith,7,5521,54,55
,1,,43,44
